"data/ca4663.tsp"
"data/dj38.tsp"
==================================================
File: "dj38.tsp" (Vertices: 38)
Running Genetic_PMX with 100 iterations...
"data/qa194.tsp"
==================================================
File: "qa194.tsp" (Vertices: 194)
Running Genetic_PMX with 100 iterations...
  Iteracja 1/100 | Cost: 9390 | Time: 866 ms
  Iteracja 2/100 | Cost: 9434 | Time: 1602 ms
  Iteracja 3/100 | Cost: 9504 | Time: 3310 ms
  Iteracja 4/100 | Cost: 9521 | Time: 792 ms
  Iteracja 5/100 | Cost: 9615 | Time: 1310 ms
  Iteracja 6/100 | Cost: 9654 | Time: 865 ms
  Iteracja 7/100 | Cost: 9352 | Time: 941 ms
  Iteracja 8/100 | Cost: 9580 | Time: 1244 ms
  Iteracja 9/100 | Cost: 9430 | Time: 1308 ms
  Iteracja 10/100 | Cost: 9558 | Time: 1075 ms
  Iteracja 11/100 | Cost: 9356 | Time: 1006 ms
  Iteracja 12/100 | Cost: 9497 | Time: 1108 ms
  Iteracja 13/100 | Cost: 9595 | Time: 888 ms
  Iteracja 14/100 | Cost: 9558 | Time: 748 ms
  Iteracja 15/100 | Cost: 9450 | Time: 1283 ms
  Iteracja 16/100 | Cost: 9520 | Time: 772 ms
  Iteracja 17/100 | Cost: 9508 | Time: 1100 ms
  Iteracja 18/100 | Cost: 9594 | Time: 1026 ms
  Iteracja 19/100 | Cost: 9503 | Time: 1275 ms
  Iteracja 20/100 | Cost: 9560 | Time: 1166 ms
  Iteracja 21/100 | Cost: 9550 | Time: 973 ms
  Iteracja 22/100 | Cost: 9611 | Time: 934 ms
  Iteracja 23/100 | Cost: 9597 | Time: 1115 ms
  Iteracja 24/100 | Cost: 9531 | Time: 1002 ms
  Iteracja 25/100 | Cost: 9615 | Time: 870 ms
  Iteracja 26/100 | Cost: 9409 | Time: 959 ms
  Iteracja 27/100 | Cost: 9395 | Time: 1305 ms
  Iteracja 28/100 | Cost: 9581 | Time: 945 ms
  Iteracja 29/100 | Cost: 9540 | Time: 1033 ms
  Iteracja 30/100 | Cost: 9477 | Time: 1134 ms
  Iteracja 31/100 | Cost: 9439 | Time: 895 ms
  Iteracja 32/100 | Cost: 9421 | Time: 1183 ms
  Iteracja 33/100 | Cost: 9584 | Time: 1089 ms
  Iteracja 34/100 | Cost: 9549 | Time: 1393 ms
  Iteracja 35/100 | Cost: 9469 | Time: 1244 ms
  Iteracja 36/100 | Cost: 9486 | Time: 1139 ms
  Iteracja 37/100 | Cost: 9545 | Time: 972 ms
  Iteracja 38/100 | Cost: 9610 | Time: 937 ms
  Iteracja 39/100 | Cost: 9579 | Time: 1108 ms
  Iteracja 40/100 | Cost: 9535 | Time: 1123 ms
  Iteracja 41/100 | Cost: 9645 | Time: 778 ms
  Iteracja 42/100 | Cost: 9552 | Time: 1121 ms
  Iteracja 43/100 | Cost: 9483 | Time: 1010 ms
  Iteracja 44/100 | Cost: 9596 | Time: 942 ms
  Iteracja 45/100 | Cost: 9616 | Time: 1065 ms
